Claim_id,Bind_date1,Customer_life_value1,Age_insured,Policy_num,Policy_state,Policy_start_date,Policy_expiry_date,Policy_bi,Policy_ded,Policy_premium,Umbrella_limit,Insured_zip,Gender,Education,Occupation,Hobbies,Insured_relationship,Capital_gains,Capital_loss,Garage_location,Accident_date,Accident_type,Collision_type,Accident_severity,Authorities_contacted,Acccident_state,Acccident_city,Accident_location,Accident_hour,Num_of_vehicles_involved,Property_damage,Bodily_injuries,Witnesses,Police_report,Dl_expiry_date,Claims_date,Auto_make,Auto_model,Auto_year,Vehicle_color,Vehicle_cost,Annual_mileage,Diffin_mileage,Low_mileage_discount,Commute_discount,Total_claim,Injury_claim,Property_claim,Vehicle_claim,Vehicle_registration,Check_point,Claim_to_premium_ratio,Combined_claim,Is_weekend,Claim_per_vehicle,High_mileage_flag,Predicted_Fraud,Fraud_ind
-1,-1,22,31,116375016,-1,-1,-1,-1,500,708.64,6000000,470610,-1,-1,-1,-1,-1,53500,0,0,-1,-1,-1,-1,-1,-1,-1,-1,9,1,-1,0,2,-1,-1,-1,-1,-1,2024,-1,22656.54,17338,5441,0,0,10048.28,1219,4153.83,4675.45,-1,0,14.1596866,10048.28,1,5024.14,1,1,Yes
-1,-1,16,34,189560103,-1,-1,-1,-1,2000,1057.77,0,477382,-1,-1,-1,-1,-1,0,-57700,0,-1,-1,-1,-1,-1,-1,-1,-1,22,3,-1,1,1,-1,-1,-1,-1,-1,2018,-1,9290.97,9809,2825,0,0,12668.14,5979.67,1043.39,5645.08,-1,0,11.96495934,12668.14,0,3167.035,0,1,Yes
-1,-1,15,27,197359502,-1,-1,-1,-1,1000,1384.51,0,476727,-1,-1,-1,-1,-1,13100,-38200,0,-1,-1,-1,-1,-1,-1,-1,-1,14,1,-1,2,3,-1,-1,-1,-1,-1,2016,-1,6675.48,15107,5482,0,0,802.77,372.55,82.28,347.94,-1,0,0.579403974,802.77,1,401.385,1,1,Yes
-1,-1,24,28,123790687,-1,-1,-1,-1,1000,986.53,0,472720,-1,-1,-1,-1,-1,62700,0,0,-1,-1,-1,-1,-1,-1,-1,-1,11,1,-1,0,2,-1,-1,-1,-1,-1,2016,-1,6199.24,12240,4943,0,0,11316.82,1797.4,5908.36,3611.06,-1,0,11.45972274,11316.82,0,5658.41,0,1,Yes
-1,-1,21,42,145901048,-1,-1,-1,-1,500,1315.68,0,600983,-1,-1,-1,-1,-1,0,-39300,0,-1,-1,-1,-1,-1,-1,-1,-1,14,1,-1,2,1,-1,-1,-1,-1,-1,2024,-1,18709.46,7839,2747,0,0,13182.13,3330.7,8650.96,1200.47,-1,0,10.01164292,13182.13,0,6591.065,0,1,Yes
-1,-1,24,31,132596520,-1,-1,-1,-1,2000,1320.75,0,441491,-1,-1,-1,-1,-1,54100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,20,3,-1,0,3,-1,-1,-1,-1,-1,2020,-1,12011.87,7166,3188,1,0,9789.81,3028.01,1212.54,5549.26,-1,0,7.406703234,9789.81,0,2447.4525,0,1,Yes
-1,-1,16,28,182849748,-1,-1,-1,-1,1000,1139,6000000,617858,-1,-1,-1,-1,-1,42400,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,3,-1,1,2,-1,-1,-1,-1,-1,2020,-1,9845.88,8560,5843,0,0,14692.92,1031.28,1082.17,12579.47,-1,0,12.88852632,14692.92,1,3673.23,0,1,Yes
-1,-1,12,25,124713754,-1,-1,-1,-1,1000,954.16,0,473328,-1,-1,-1,-1,-1,53200,0,0,-1,-1,-1,-1,-1,-1,-1,-1,22,4,-1,0,0,-1,-1,-1,-1,-1,2015,-1,4768.51,13219,3209,0,0,17669.73,2478.74,463.47,14727.52,-1,0,18.49923573,17669.73,0,3533.946,0,1,Yes
-1,-1,16,37,199704644,-1,-1,-1,-1,1000,2047.59,0,439269,-1,-1,-1,-1,-1,0,-67800,0,-1,-1,-1,-1,-1,-1,-1,-1,2,1,-1,0,3,-1,-1,-1,-1,-1,2020,-1,12996.85,11744,3677,0,0,19063.54,1501.08,16667.54,894.92,-1,0,9.305688303,19063.54,0,9531.77,0,1,Yes
-1,-1,20,40,158942066,-1,-1,-1,-1,2000,1217.69,0,440106,-1,-1,-1,-1,-1,24000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,6,3,-1,1,0,-1,-1,-1,-1,-1,2016,-1,6454.93,10318,2375,0,0,3162.76,312.23,949.41,1901.12,-1,0,2.595212893,3162.76,0,790.69,0,1,Yes
